edge_types,count
:ARG1,61305
:ARG0,47161
:mod,26157
:ARG2,21891
:op1,21007
:ARG1-of,12900
:name,11104
:polarity,10438
:op2,10333
:snt2,9771
:snt1,9708
:mode,8859
:time,7436
:rel,5982
:ARG0-of,5550
:domain,5204
:degree,3592
:poss,3591
:quant,3508
:ARG3,3487
:snt3,3384
:manner,3108
:ARG2-of,2635
:location,2354
:op3,2321
:ARG4,1325
:unit,1287
:part,1284
:value,992
:condition,977
:snt4,898
:purpose,826
:op4,803
:part-of,745
:topic,654
:duration,523
:direction,470
:frequency,438
:dayperiod,414
:ord,408
:op5,341
:beneficiary,336
:polite,289
:manner-of,249
:ARG6,242
:medium,238
:source,236
:accompanier,233
:example,232
:weekday,227
:time-of,209
:concession,205
:snt5,192
:instrument,189
:consist-of,168
:op6,144
:month,142
:location-of,138
:ARG5,137
:year,128
:li,126
:polarity-of,98
:destination,95
:season,94
:concession-of,88
:op7,85
:day,84
:age,74
:quant-of,69
:degree-of,59
:ARG3-of,57
:snt6,48
:op8,48
:path,45
:prep-with,40
:ARG4-of,39
:extent,37
:op9,33
:prep-on,30
:op10,28
:prep-as,28
:prep-in,25
:condition-of,17
:duration-of,16
:decade,16
:prep-for,14
:prep-to,14
:instrument-of,14
:subevent-of,12
:prep-against,11
:op11,11
:prep-from,7
:scale,7
:topic-of,7
:range,6
:conj-as-if,6
:poss-of,5
:frequency-of,5
:prep-by,5
:op12,4
:snt7,4
:prep-without,3
:accompanier-of,2
:op13,2
:timezone,2
:snt8,2
:source-of,2
:purpose-of,1
:prep-under,1
:snt10,1
:prep-into,1
:subevent,1
:destination-of,1
:era,1
:medium-of,1
:prep-on-behalf-of,1
