edge_types,count
:ARG1,74205
:ARG0,52711
Operators,35160
:mod,26157
:ARG2,24526
Sentences,24008
:name,11104
:polarity,10536
Temporal,9292
:mode,8859
:rel,5982
:domain,5204
Quantities,4871
:degree,3651
:poss,3596
:ARG3,3544
:manner,3357
Spatial,2633
:part,2029
:ARG4,1364
:condition,994
:value,992
:purpose,827
:topic,661
:direction,470
:frequency,443
:ord,408
:beneficiary,336
:concession,293
:polite,289
:ARG6,242
:medium,239
:source,238
:accompanier,235
:example,232
:instrument,203
Prepositions,180
:consist,168
:ARG5,137
Others,136
:li,126
