edge_types,count
:ARG1,42477
:ARG0,25056
Operators,23045
:ARG2,14340
:mod,13339
Sentences,13035
:name,8886
:rel,5721
Temporal,5351
:polarity,5250
Quantities,3304
:domain,2459
:ARG3,2153
Spatial,1803
:mode,1634
:poss,1574
:degree,1312
:manner,1231
:topic,926
:condition,689
:part,667
:purpose,609
:ARG4,591
:value,550
:frequency,341
:ord,224
:concession,217
:beneficiary,205
:polite,177
:source,172
:medium,168
:direction,162
Prepositions,141
:consist,134
Others,134
:example,129
:instrument,105
:ARG6,100
:accompanier,93
:ARG5,77
:li,44
:ARG7,3
